边,biān
滨,bīn
橙,chéng
春,chūn
葱,cōng
底,dǐ
冬,dōng
后,hòu
季,jì
姜,jiāng
界,jiè
卡,kǎ
刻,kè
梨,lí
里,lǐ
秒,miǎo
末,mò
内,nèi
畔,pàn
前,qián
仁,rén
日,rì
桃,táo
外,wài
下,xià
夏,xià
杏,xìng
血,xuè
右,yòu
釉,yòu
月,yuè
周,zhōu
左,zuǒ
色胆,sè,dǎn
色的,sè,de
色淀,sè,diàn
色度,sè,dù
色纺,sè,fǎng
色酚,sè,fēn
色粉,sè,fěn
色感,sè,gǎn
色光,sè,guāng
色鬼,sè,guǐ
色环,sè,huán
色基,sè,jī
色集,sè,jí
色键,sè,jiàn
色觉,sè,jué
色戒,sè,jiè
色柯,sè,kē
色拉,sè,lā
色狼,sè,láng
色码,sè,mǎ
色盲,sè,máng
色迷,sè,mí
色膜,sè,mó
色浅,sè,qiǎn
色情,sè,qíng
色区,sè,qū
色弱,sè,ruò
色散,sè,sàn
色丝,sè,sī
色素,sè,sù
色调,sè,diào
色酮,sè,tóng
色图,sè,tú
色威,sè,wēi
色味,sè,wèi
色相,sè,xiàng
色医,sè,yī
色釉,sè,yòu
色欲,sè,yù
色泽,sè,zé
色质,sè,zhì
色子,shǎi,zǐ
涩草,sè,cǎo
涩梨,sè,lí
涩味,sè,wèi
涩滞,sè,zhì
铯矾,sè,fán
瑟瑟,sè,sè
瑟慎,sè,shèn
瑟缩,sè,suō
森德,sēn,dé
森峰,sēn,fēng
森根,sēn,gēn
森古,sēn,gǔ
森禾,sēn,hé
森佳,sēn,jiā
森警,sēn,jǐng
森克,sēn,kè
森兰,sēn,lán
森林,sēn,lín
森鹿,sēn,lù
森茂,sēn,mào
森美,sēn,měi
森南,sēn,nán
森然,sēn,rán
森森,sēn,sēn
森盛,sēn,shèng
森树,sēn,shù
森旺,sēn,wàng
森威,sēn,wēi
森夏,sēn,xià
森翔,sēn,xiáng
森鑫,sēn,xīn
森信,sēn,xìn
森严,sēn,yán
森阳,sēn,yáng
森鹰,sēn,yīng
森庄,sēn,zhuāng
椮属,sǎn,shǔ
僧固,sēng,gù
僧侣,sēng,lǚ
僧帽,sēng,mào
僧尼,sēng,ní
僧人,sēng,rén
僧俗,sēng,sú
僧徒,sēng,tú
僧众,sēng,zhòng
僧装,sēng,zhuāng
杀敌,shā,dí
杀毒,shā,dú
杀伐,shā,fá
杀割,shā,gē
杀害,shā,hài
杀机,shā,jī
杀价,shā,jià
杀江,shā,jiāng
杀戒,shā,jiè
杀井,shā,jǐng
杀菌,shā,jūn
杀楼,shā,lóu
杀戮,shā,lù
杀气,shā,qì
杀青,shā,qīng
杀人,shā,rén
杀伤,shā,shāng
杀生,shā,shēng
杀手,shā,shǒu
杀熟,shā,shú
杀死,shā,sǐ
杀头,shā,tóu
杀婴,shā,yīng
杀藻,shā,zǎo
杀蟑,shā,zhāng
沙坝,shā,bà
沙包,shā,bāo
沙暴,shā,bào
沙参,shā,shēn
沙场,shā,chǎng
沙尘,shā,chén
沙虫,shā,chóng
沙船,shā,chuán
沙袋,shā,dài
沙地,shā,dì
沙堆,shā,duī
沙俄,shā,é
沙发,shā,fā
沙锅,shā,guō
沙果,shā,guǒ
沙害,shā,hài
沙化,shā,huà
沙荒,shā,huāng
沙皇,shā,huáng
沙棘,shā,jí
沙金,shā,jīn
沙坑,shā,kēng
沙拉,shā,là
沙梨,shā,lí
沙砾,shā,lì
沙柳,shā,lǐu
沙龙,shā,lóng
沙漏,shā,lòu
沙门,shā,mén
沙弥,shā,mí
沙漠,shā,mò
沙鸥,shā,ōu
沙盘,shā,pán
沙碛,shā,qì
沙丘,shā,qīu
沙沙,shā,shā
沙石,shā,shí
沙市,shā,shì
沙滩,shā,tān
沙田,shā,tián
沙土,shā,tǔ
沙哑,shā,yǎ
沙眼,shā,yǎn
沙鱼,shā,yú
沙浴,shā,yù
沙灾,shā,zāi
沙枣,shā,zǎo
沙洲,shā,zhōu
沙子,shā,zi
纱白,shā,bái
纱布,shā,bù
纱厂,shā,chǎng
纱橱,shā,chú
纱窗,shā,chuāng
纱带,shā,dài
纱灯,shā,dēng
纱锭,shā,dìng
纱架,shā,jià
纱剪,shā,jiǎn
纱巾,shā,jīn
纱笼,shā,lóng
纱罗,shā,luó
纱帽,shā,mào
纱门,shā,mén
纱棉,shā,mián
纱线,shā,xiàn
纱帐,shā,zhàng
纱罩,shā,zhào
纱支,shā,zhī
纱质,shā,zhì
砂坝,shā,bà
砂摆,shā,bǎi
砂板,shā,bǎn
砂布,shā,bù
砂槽,shā,cáo
砂尘,shā,chén
砂舂,shā,chōng
砂粉,shā,fěn
砂封,shā,fēng
砂管,shā,guǎn
砂罐,shā,guàn
砂画,shā,huà
砂黄,shā,huáng
砂机,shā,jī
砂浆,shā,jiāng
砂礓,shā,jiāng
砂金,shā,jīn
砂井,shā,jǐng
砂孔,shā,kǒng
砂块,shā,kuài
砂矿,shā,kuàng
砂蜡,shā,là
砂砾,shā,lì
砂粒,shā,lì
砂漏,shā,lòu
砂轮,shā,lún
砂滤,shā,lǜ
砂囊,shā,náng
砂壤,shā,rǎng
砂仁,shā,rén
砂石,shā,shí
砂蚀,shā,shí
砂胎,shā,tāi
砂塘,shā,táng
砂糖,shā,táng
砂土,shā,tǔ
砂锡,shā,xī
砂蜥,shā,xī
砂箱,shā,xiāng
砂屑,shā,xiè
砂岩,shā,yán
砂眼,shā,yǎn
砂样,shā,yàng
砂纸,shā,zhǐ
砂铸,shā,zhù
砂子,shā,zǐ
莎草,suō,cǎo
莎车,shā,chē
莎美,shā,měi
莎婷,shā,tíng
莎薇,shā,wēi
鲨烯,shā,xī
啥时,shá,shí
傻瓜,shǎ,guā
傻话,shǎ,huà
傻气,shǎ,qì
傻笑,shǎ,xiào
傻眼,shǎ,yǎn
傻样,shǎ,yàng
傻子,shǎ,zi
厦村,shà,cūn
厦禾,shà,hé
厦路,shà,lù
厦门,xià,mén
歃血,shà,xuè
煞白,shà,bái
煞笔,shā,bǐ
煞车,shā,chē
煞气,shà,qì
煞尾,shā,wěi
煞住,shā,zhù
霎时,shà,shí
筛板,shāi,bǎn
筛分,shāi,fēn
筛粉,shāi,fěn
筛管,shāi,guǎn
筛号,shāi,hào
筛级,shāi,jí
筛架,shāi,jià
筛径,shāi,jìng
筛糠,shāi,kāng
筛孔,shāi,kǒng
筛篮,shāi,lán
筛滤,shāi,lǜ
筛目,shāi,mù
筛区,shāi,qū
筛网,shāi,wǎng
筛析,shāi,xī
筛洗,shāi,xǐ
筛隙,shāi,xì
筛箱,shāi,xiāng
筛屑,shāi,xiè
筛序,shāi,xù
筛选,shāi,xuǎn
筛盅,shāi,zhōng
筛子,shāi,zǐ
晒斑,shài,bān
晒版,shài,bǎn
晒场,shài,cháng
晒垡,shài,fá
晒干,shài,gān
晒谷,shài,gǔ
晒架,shài,jià
晒客,shài,kè
晒伤,shài,shāng
晒台,shài,tái
晒图,shài,tú
山坳,shān,ào
山柏,shān,bǎi
山坂,shān,bǎn
山包,shān,bāo
山陂,shān,bēi
山崩,shān,bēng
山草,shān,cǎo
山茶,shān,chá
山城,shān,chéng
山橙,shān,chéng
山川,shān,chuān
山村,shān,cūn
山丹,shān,dān
山道,shān,dào
山底,shān,dǐ
山地,shān,dì
山颠,shān,diān
山靛,shān,diàn
山顶,shān,dǐng
山东,shān,dōng
山洞,shān,dòng
山都,shān,dōu
山兜,shān,dōu
山堆,shān,duī
山二,shān,èr
山矾,shān,fán
山风,shān,fēng
山峰,shān,fēng
山富,shān,fù
山腹,shān,fù
山冈,shān,gāng
山岗,shān,gāng
山歌,shān,gē
山根,shān,gēn
山沟,shān,gōu
山谷,shān,gǔ
山关,shān,guān
山鬼,shān,guǐ
山国,shān,guó
山果,shān,guǒ
山蒿,shān,hāo
山河,shān,hé
山洪,shān,hóng
山后,shān,hòu
山呼,shān,hū
山弧,shān,hú
山花,shān,huā
山火,shān,huǒ
山货,shān,huò
山鸡,shān,jī
山积,shān,jī
山脊,shān,jǐ
山佳,shān,jiā
山菅,shān,jiān
山涧,shān,jiàn
山姜,shān,jiāng
山僵,shān,jiāng
山橿,shān,jiāng
山脚,shān,jiǎo
山轿,shān,jiào
山景,shān,jǐng
山径,shān,jìng
山居,shān,jū
山桔,shān,jú
山菊,shān,jú
山橘,shān,jú
山蒟,shān,jǔ
山侃,shān,kǎn
山口,shān,kǒu
山矿,shān,kuàng
山岚,shān,lán
山榄,shān,lǎn
山梨,shān,lí
山梁,shān,liáng
山寮,shān,liáo
山林,shān,lín
山陵,shān,líng
山蛉,shān,líng
山岭,shān,lǐng
山陇,shān,lǒng
山垄,shān,lǒng
山路,shān,lù
山麓,shān,lù
山峦,shān,luán
山脉,shān,mài
山猫,shān,māo
山玫,shān,méi
山莓,shān,méi
山梅,shān,méi
山鹛,shān,méi
山霉,shān,méi
山美,shān,měi
山门,shān,mén
山民,shān,mín
山姆,shān,mǔ
山奈,shān,nài
山柰,shān,nài
山南,shān,nán
山炮,shān,pào
山蓬,shān,péng
山坡,shān,pō
山槭,shān,qì
山前,shān,qián
山墙,shān,qiáng
山清,shān,qīng
山庆,shān,qìng
山丘,shān,qīu
山区,shān,qū
山泉,shān,quán
山雀,shān,què
山人,shān,rén
山色,shān,sè
山杉,shān,shān
山神,shān,shén
山狮,shān,shī
山石,shān,shí
山势,shān,shì
山水,shān,shuǐ
山泰,shān,tài
山坛,shān,tán
山塘,shān,táng
山桃,shān,táo
山藤,shān,téng
山田,shān,tián
山亭,shān,tíng
山头,shān,tóu
山洼,shān,wā
山尾,shān,wěi
山窝,shān,wō
山坞,shān,wù
山雾,shān,wù
山西,shān,xī
山溪,shān,xī
山系,shān,xì
山峡,shān,xiá
山霞,shān,xiá
山险,shān,xiǎn
山乡,shān,xiāng
山香,shān,xiāng
山响,shān,xiǎng
山魈,shān,xiāo
山型,shān,xíng
山杏,shān,xìng
山崖,shān,yá
山岩,shān,yán
山羊,shān,yáng
山阳,shān,yáng
山杨,shān,yáng
山腰,shān,yāo
山药,shān,yào
山野,shān,yě
山阴,shān,yīn
山芋,shān,yù
山岳,shān,yuè
山枣,shān,zǎo
山楂,shān,zhā
山寨,shān,zhài
山樟,shān,zhāng
山证,shān,zhèng
山栀,shān,zhī
山茱,shān,zhū
山猪,shān,zhū
山竹,shān,zhú
山柱,shān,zhù
山庄,shān,zhuāng
山子,shān,zǐ
山嘴,shān,zuǐ
芟除,shān,chú
芟秋,shān,qīu
芟夷,shān,yí
杉湖,shān,hú
杉科,shān,kē
杉木,shā,mù
杉山,shā,shān
杉树,shān,shù
杉塔,shān,tǎ
杉叶,shān,yè
删除,shān,chú
删改,shān,gǎi
删减,shān,jiǎn
删节,shān,jié
删去,shān,qù
删汰,shān,tài
删削,shān,xuē
苫布,shàn,bù
苫盖,shàn,gài
钐镰,shàn,lián
姗姗,shān,shān
珊迪,shān,dí
珊瑚,shān,hú
珊嘉,shān,jiā
珊娜,shān,nà
珊妮,shān,nī
舢板,shān,bǎn
煽动,shān,dòng
煽惑,shān,huò
煽情,shān,qíng
潸然,shān,rán
潸潸,shān,shān
穇子,cǎn,zǐ
膻气,shān,qì
膻味,shān,wèi
膻中,shān,zhōng
闪板,shǎn,bǎn
闪避,shǎn,bì
闪变,shǎn,biàn
闪播,shǎn,bō
闪点,shǎn,diǎn
闪电,shǎn,diàn
闪动,shǎn,dòng
闪躲,shǎn,duǒ
闪粉,shǎn,fěn
闪光,shǎn,guāng
闪过,shǎn,guò
闪弧,shǎn,hú
闪击,shǎn,jī
闪开,shǎn,kāi
闪亮,shǎn,liàng
闪龙,shǎn,lóng
闪煤,shǎn,méi
闪冕,shǎn,miǎn
闪念,shǎn,niàn
闪闪,shǎn,shǎn
闪射,shǎn,shè
闪身,shǎn,shēn
闪失,shǎn,shī
闪视,shǎn,shì
闪烁,shǎn,shuò
闪现,shǎn,xiàn
闪星,shǎn,xīng
闪耀,shǎn,yào
陕西,shǎn,xī
陕县,shǎn,xiàn
讪讪,shàn,shàn
讪笑,shàn,xiào
汕美,shàn,měi
汕尾,shàn,wěi
汕优,shàn,yōu
疝带,shàn,dài
疝底,shàn,dǐ
疝环,shàn,huán
疝颈,shàn,jǐng
疝气,shàn,qì
扇贝,shàn,bèi
扇动,shān,dòng
扇骨,shàn,gǔ
扇面,shàn,miàn
扇形,shàn,xíng
扇坠,shàn,zhuì
扇子,shàn,zi
善报,shàn,bào
善本,shàn,běn
善变,shàn,biàn
善处,shàn,chǔ
善存,shàn,cún
善感,shàn,gǎn
善工,shàn,gōng
善行,shàn,xíng
善后,shàn,hòu
善举,shàn,jǔ
善类,shàn,lèi
善良,shàn,liáng
善龙,shàn,lóng
善人,shàn,rén
善事,shàn,shì
善守,shàn,shǒu
善泰,shàn,tài
善坛,shàn,tán
善亭,shàn,tíng
善心,shàn,xīn
善益,shàn,yì
善意,shàn,yì
善于,shàn,yú
善战,shàn,zhàn
善政,shàn,zhèng
善终,shàn,zhōng
鄯善,shàn,shàn
缮写,shàn,xiě
缮制,shàn,zhì
擅场,shàn,chǎng
擅权,shàn,quán
擅长,shàn,cháng
擅自,shàn,zì
擅做,shàn,zuò
膳费,shàn,fèi
膳食,shàn,shí
膳桌,shàn,zhuō
嬗变,shàn,biàn
赡养,shàn,yǎng
鳝藤,shàn,téng
鳝溪,shàn,xī
伤疤,shāng,bā
伤悲,shāng,bēi
伤兵,shāng,bīng
伤财,shāng,cái
伤残,shāng,cán
伤城,shāng,chéng
伤悼,shāng,dào
伤风,shāng,fēng
伤感,shāng,gǎn
伤根,shāng,gēn
伤害,shāng,hài
伤寒,shāng,hán
伤号,shāng,hào
伤耗,shāng,hào
伤痕,shāng,hén
伤怀,shāng,huái
伤疖,shāng,jiē
伤科,shāng,kē
伤口,shāng,kǒu
伤门,shāng,mén
伤情,shāng,qíng
伤身,shāng,shēn
伤神,shāng,shén
伤生,shāng,shēng
伤湿,shāng,shī
伤势,shāng,shì
伤逝,shāng,shì
伤暑,shāng,shǔ
伤损,shāng,sǔn
伤痛,shāng,tòng
伤亡,shāng,wáng
伤心,shāng,xīn
伤阳,shāng,yáng
伤益,shāng,yì
伤员,shāng,yuán
商办,shāng,bàn
商埠,shāng,bù
商层,shāng,céng
商场,shāng,chǎng
商潮,shāng,cháo
商城,shāng,chéng
商店,shāng,diàn
商定,shāng,dìng
商都,shāng,dū
商队,shāng,duì
商兑,shāng,duì
商贩,shāng,fàn
商港,shāng,gǎng
商工,shāng,gōng
商馆,shāng,guǎn
商行,shāng,háng
商号,shāng,hào
商河,shāng,hé
商环,shāng,huán
商会,shāng,huì
商机,shāng,jī
商集,shāng,jí
商计,shāng,jì
商家,shāng,jiā
商贾,shāng,gǔ
商检,shāng,jiǎn
商界,shāng,jiè
商量,shāng,liáng
商廖,shāng,liào
商陆,shāng,lù
商路,shāng,lù
商洛,shāng,luò
商旅,shāng,lǚ
商脉,shāng,mài
商贸,shāng,mào
商南,shāng,nán
商品,shāng,pǐn
商签,shāng,qiān
商情,shāng,qíng
商人,shāng,rén
商税,shāng,shuì
商摊,shāng,tān
商谈,shāng,tán
商讨,shāng,tǎo
商调,shāng,diào
商亭,shāng,tíng
商图,shāng,tú
商团,shāng,tuán
商务,shāng,wù
商县,shāng,xiàn
商阳,shāng,yáng
商业,shāng,yè
商议,shāng,yì
商赢,shāng,yíng
商约,shāng,yuē
商展,shāng,zhǎn
商战,shāng,zhàn
商枝,shāng,zhī
商州,shāng,zhōu
商装,shāng,zhuāng
商酌,shāng,zhuó
墒情,shāng,qíng
熵变,shāng,biàn
熵波,shāng,bō
熵率,shāng,lǜ
熵图,shāng,tú
晌午,shǎng,wǔ
赏赐,shǎng,cì
赏罚,shǎng,fá
赏饭,shǎng,fàn
赏封,shǎng,fēng
赏光,shǎng,guāng
赏桂,shǎng,guì
赏画,shǎng,huà
赏鉴,shǎng,jiàn
赏金,shǎng,jīn
赏菊,shǎng,jú
赏赉,shǎng,lài
赏脸,shǎng,liǎn
赏钱,shǎng,qián
赏识,shǎng,shí
赏玩,shǎng,wán
赏析,shǎng,xī
赏月,shǎng,yuè
赏阅,shǎng,yuè
上岸,shàng,àn
上班,shàng,bān
上报,shàng,bào
上辈,shàng,bèi
上边,shàng,biān
上膘,shàng,biāo
上宾,shàng,bīn
上菜,shàng,cài
上苍,shàng,cāng
上操,shàng,cāo
上策,shàng,cè
上层,shàng,céng
上场,shàng,chǎng
上朝,shàng,cháo
上车,shàng,chē
上乘,shàng,chéng
上床,shàng,chuáng
上唇,shàng,chún
上次,shàng,cì
上达,shàng,dá
上代,shàng,dài
上当,shàng,dàng
上等,shàng,děng
上帝,shàng,dì
上吊,shàng,diào
上冻,shàng,dòng
上端,shàng,duān
上方,shàng,fāng
上房,shàng,fáng
上访,shàng,fǎng
上坟,shàng,fén
上风,shàng,fēng
上峰,shàng,fēng
上浮,shàng,fú
上纲,shàng,gāng
上告,shàng,gào
上工,shàng,gōng
上供,shàng,gòng
上钩,shàng,gōu
上古,shàng,gǔ
上官,shàng,guān
上海,shàng,hǎi
上行,shàng,xíng
上好,shàng,hǎo
上回,shàng,huí
上火,shàng,huǒ
上货,shàng,huò
上级,shàng,jí
上家,shàng,jiā
上将,shàng,jiàng
上交,shàng,jiāo
上缴,shàng,jiǎo
上街,shàng,jiē
上届,shàng,jiè
上界,shàng,jiè
上紧,shàng,jǐn
上进,shàng,jìn
上劲,shàng,jìn
上京,shàng,jīng
上卷,shàng,juǎn
上课,shàng,kè
上空,shàng,kōng
上口,shàng,kǒu
上款,shàng,kuǎn
上来,shàng,lái
上联,shàng,lián
上脸,shàng,liǎn
上梁,shàng,liáng
上列,shàng,liè
上林,shàng,lín
上流,shàng,líu
上路,shàng,lù
上马,shàng,mǎ
上门,shàng,mén
上面,shàng,miàn
上年,shàng,nián
上品,shàng,pǐn
上坡,shàng,pō
上铺,shàng,pù
上去,shǎng,qù
上人,shàng,rén
上任,shàng,rèn
上山,shàng,shān
上上,shàng,shàng
上身,shàng,shēn
上升,shàng,shēng
上声,shǎng,shēng
上士,shàng,shì
上市,shàng,shì
上手,shàng,shǒu
上首,shàng,shǒu
上书,shàng,shū
上述,shàng,shù
上水,shàng,shuǐ
上税,shàng,shuì
上司,shàng,sī
上诉,shàng,sù
上溯,shàng,sù
上算,shàng,suàn
上锁,shàng,suǒ
上台,shàng,tái
上堂,shàng,táng
上膛,shàng,táng
上套,shàng,tào
上体,shàng,tǐ
上天,shàng,tiān
上头,shàng,tou
上位,shàng,wèi
上尉,shàng,wèi
上文,shàng,wén
上午,shàng,wǔ
上下,shàng,xià
上弦,shàng,xián
上限,shàng,xiàn
上相,shàng,xiàng
上校,shàng,xiào
上鞋,shàng,xié
上心,shàng,xīn
上刑,shàng,xíng
上选,shàng,xuǎn
上学,shàng,xué
上旬,shàng,xún
上演,shàng,yǎn
上药,shàng,yào
上叶,shàng,yè
上衣,shàng,yī
上瘾,shàng,yǐn
上映,shàng,yìng
上游,shàng,yóu
上院,shàng,yuàn
上月,shàng,yuè
上涨,shàng,zhǎng
上账,shàng,zhàng
上阵,shàng,zhèn
上肢,shàng,zhī
上装,shàng,zhuāng
上奏,shàng,zòu
上座,shàng,zuò
尚城,shàng,chéng
尚村,shàng,cūn
尚多,shàng,duō
尚豪,shàng,háo
尚景,shàng,jǐng
尚可,shàng,kě
尚客,shàng,kè
尚且,shàng,qiě
尚卿,shàng,qīng
尚山,shàng,shān
尚书,shàng,shū
尚塘,shàng,táng
尚望,shàng,wàng
尚未,shàng,wèi
尚武,shàng,wǔ
尚信,shàng,xìn
尚亚,shàng,yà
尚志,shàng,zhì
尚忠,shàng,zhōng
尚庄,shàng,zhuāng
捎带,shāo,dài
捎话,shāo,huà
捎脚,shāo,jiǎo
烧白,shāo,bái
烧包,shāo,bāo
烧杯,shāo,bēi
烧饼,shāo,bǐng
烧剥,shāo,bō
烧成,shāo,chéng
烧除,shāo,chú
烧饭,shāo,fàn
烧根,shāo,gēn
烧锅,shāo,guō
烧焊,shāo,hàn
烧化,shāo,huà
烧坏,shāo,huài
烧荒,shāo,huāng
烧灰,shāo,huī
烧毁,shāo,huǐ
烧火,shāo,huǒ
烧鸡,shāo,jī
烧碱,shāo,jiǎn
烧结,shāo,jié
烧酒,shāo,jǐu
烧烤,shāo,kǎo
烧孔,shāo,kǒng
烧料,shāo,liào
烧卤,shāo,lǔ
烧卖,shāo,mài
烧瓶,shāo,píng
烧伤,shāo,shāng
烧蚀,shāo,shí
烧炭,shāo,tàn
烧析,shāo,xī
烧香,shāo,xiāng
烧心,shāo,xīn
烧渣,shāo,zhā
烧着,shāo,zhe
烧汁,shāo,zhī
烧纸,shāo,zhǐ
烧制,shāo,zhì
烧舟,shāo,zhōu
烧灼,shāo,zhuó
稍稍,shāo,shāo
稍事,shāo,shì
稍微,shāo,wēi
稍为,shāo,wéi
稍息,shào,xī
稍许,shāo,xǔ
蛸属,xiāo,shǔ
筲箕,shāo,jī
艄公,shāo,gōng
勺鸡,sháo,jī
勺筷,sháo,kuài
勺兰,sháo,lán
勺子,sháo,zi
芍倍,sháo,bèi
芍兰,sháo,lán
芍药,sháo,yào
杓蛤,biāo,gé
杓兰,biāo,lán
杓样,biāo,yàng
韶关,sháo,guān
韶光,sháo,guāng
韶华,sháo,huá
韶山,sháo,shān
韶秀,sháo,xìu
少儿,shǎo,ér
少府,shào,fǔ
少妇,shào,fù
少海,shǎo,hǎi
少见,shǎo,jiàn
少将,shào,jiàng
少刻,shǎo,kè
少礼,shǎo,lǐ
少量,shǎo,liàng
少林,shǎo,lín
少男,shǎo,nán
少年,shào,nián
少女,shào,nǚ
少陪,shǎo,péi
少顷,shǎo,qǐng
少商,shǎo,shāng
少时,shǎo,shí
少数,shǎo,shù
少尉,shào,wèi
少相,shào,xiāng
少校,shào,xiào
少许,shǎo,xǔ
少爷,shào,yé
少有,shǎo,yǒu
少壮,shào,zhuàng
邵博,shào,bó
邵莉,shào,lì
邵武,shào,wǔ
邵巷,shào,xiàng
邵阳,shào,yáng
邵庄,shào,zhuāng
绍介,shào,jiè
绍酒,shào,jǐu
绍剧,shào,jù
绍提,shào,tí
绍兴,shào,xīng
哨兵,shào,bīng
哨岗,shào,gǎng
哨卡,shào,qiǎ
哨所,shào,suǒ
哨位,shào,wèi
哨子,shào,zi
奢侈,shē,chǐ
奢望,shē,wàng
奢想,shē,xiǎng
赊货,shē,huò
赊买,shē,mǎi
赊欠,shē,qiàn
赊销,shē,xiāo
赊账,shē,zhàng
猞猁,shē,lì
畲径,shē,jìng
畲族,shē,zú
舌淡,shé,dàn
舌根,shé,gēn
舌弓,shé,gōng
舌簧,shé,huáng
舌尖,shé,jiān
舌蹇,shé,jiǎn
舌门,shé,mén
舌钳,shé,qián
舌鳎,shé,tǎ
舌苔,shé,tāi
舌痛,shé,tòng
舌头,shé,tou
舌位,shé,wèi
舌腺,shé,xiàn
舌象,shé,xiàng
舌形,shé,xíng
舌叶,shé,yè
舌战,shé,zhàn
舌状,shé,zhuàng
佘圩,shé,xū
佘庄,shé,zhuāng
蛇胆,shé,dǎn
蛇岛,shé,dǎo
蛇雕,shé,diāo
蛇豆,shé,dòu
蛇毒,shé,dú
蛇粉,shé,fěn
蛇腹,shé,fù
蛇行,shé,xíng
蛇黄,shé,huáng
蛇簧,shé,huáng
蛇鮈,shé,jū
蛇蛉,shé,líng
蛇螺,shé,luó
蛇莓,shé,méi
蛇鲭,shé,qīng
蛇鳝,shé,shàn
蛇伤,shé,shāng
蛇蜥,shé,xī
蛇蝎,shé,xiē
蛇形,shé,xíng
蛇咬,shé,yǎo
蛇医,shé,yī
蛇杖,shé,zhàng
蛇脂,shé,zhī
蛇鲻,shé,zī
舍得,shè,de
舍弟,shè,dì
舍间,shè,jiān
舍利,shè,lì
舍命,shě,mìng
舍弃,shě,qì
舍身,shè,shēn
舍下,shè,xià
设备,shè,bèi
设店,shè,diàn
设定,shè,dìng
设法,shè,fǎ
设防,shè,fáng
设伏,shè,fú
设岗,shè,gǎng
设或,shè,huò
设计,shè,jì
设局,shè,jú
设立,shè,lì
设若,shè,ruò
设色,shè,sè
设施,shè,shī
设摊,shè,tān
设陷,shè,xiàn
设想,shè,xiǎng
设宴,shè,yàn
设障,shè,zhàng
设置,shè,zhì
社坝,shè,bà
社店,shè,diàn
社二,shè,èr
社会,shè,huì
社火,shè,huǒ
社稷,shè,jì
社交,shè,jiāo
社论,shè,lùn
社美,shè,měi
社评,shè,píng
社旗,shè,qí
社区,shè,qū
社群,shè,qún
社山,shè,shān
社坛,shè,tán
社团,shè,tuán
社戏,shè,xì
社员,shè,yuán
社长,shè,zhǎng
射程,shè,chéng
射电,shè,diàn
射干,yè,gàn
射洪,shè,hóng
射击,shè,jī
射极,shè,jí
射箭,shè,jiàn
射界,shè,jiè
射精,shè,jīng
射猎,shè,liè
射流,shè,líu
射门,shè,mén
射频,shè,pín
射入,shè,rù
射手,shè,shǒu
射束,shè,shù
射罔,shè,wǎng
射线,shè,xiàn
射向,shè,xiàng
射阳,shè,yáng
射影,shè,yǐng
射中,shè,zhòng
涉笔,shè,bǐ
涉及,shè,jí
涉猎,shè,liè
涉农,shè,nóng
涉枪,shè,qiāng
涉世,shè,shì
涉讼,shè,sòng
涉外,shè,wài
涉嫌,shè,xián
涉险,shè,xiǎn
涉县,shè,xiàn
涉足,shè,zú
赦免,shè,miǎn
摄魂,shè,hún
摄录,shè,lù
摄取,shè,qǔ
摄山,shè,shān
摄生,shè,shēng
摄食,shè,shí
摄氏,shè,shì
摄卫,shè,wèi
摄像,shè,xiàng
摄影,shè,yǐng
摄站,shè,zhàn
摄政,shè,zhèng
摄制,shè,zhì
慑服,shè,fú
麝煤,shè,méi
麝鼠,shè,shǔ
麝香,shè,xiāng
申办,shēn,bàn
申报,shēn,bào
申辩,shēn,biàn
申斥,shēn,chì
申饬,shēn,chì
申工,shēn,gōng
申汉,shēn,hàn
申昊,shēn,hào
申嘉,shēn,jiā
申姜,shēn,jiāng
申捷,shēn,jié
申领,shēn,lǐng
申令,shēn,lìng
申脉,shēn,mài
申明,shēn,míng
申牌,shēn,pái
申请,shēn,qǐng
申时,shēn,shí
申述,shēn,shù
申说,shēn,shuō
申诉,shēn,sù
申讨,shēn,tǎo
申屠,shēn,tú
申辋,shēn,wǎng
申谢,shēn,xiè
申徐,shēn,xú
申雪,shēn,xuě
申优,shēn,yōu
申冤,shēn,yuān
伸出,shēn,chū
伸喙,shēn,huì
伸肌,shēn,jī
伸腱,shēn,jiàn
伸开,shēn,kāi
伸手,shēn,shǒu
伸缩,shēn,suō
伸腿,shēn,tuǐ
伸延,shēn,yán
伸腰,shēn,yāo
伸冤,shēn,yuān
伸展,shēn,zhǎn
伸张,shēn,zhāng
伸长,shēn,cháng
伸直,shēn,zhí
身板,shēn,bǎn
身边,shēn,biān
身材,shēn,cái
身段,shēn,duàn
身分,shēn,fèn
身份,shēn,fèn
身负,shēn,fù
身高,shēn,gāo
身故,shēn,gù
身后,shēn,hòu
身患,shēn,huàn
身家,shēn,jiā
身价,shēn,jià
身架,shēn,jià
身教,shēn,jiào
身历,shēn,lì
身量,shēn,liàng
身躯,shēn,qū
身上,shēn,shàng
身世,shēn,shì
身手,shēn,shǒu
身受,shēn,shòu
身体,shēn,tǐ
身条,shēn,tiáo
身亡,shēn,wáng
身心,shēn,xīn
身形,shēn,xíng
身影,shēn,yǐng
身孕,shēn,yùn
身长,shēn,cháng
身着,shēn,zhuó
身重,shēn,zhòng
身柱,shēn,zhù
身姿,shēn,zī
身子,shēn,zi
呻吟,shēn,yín
绅耆,shēn,qí
绅商,shēn,shāng
绅士,shēn,shì
莘县,xīn,xiàn
莘庄,xīn,zhuāng
