㐷	傌
多吃多占	多吃多佔
多个	多箇
多少	多少
多少只	多少隻
多凶少吉	多凶少吉
多只	多隻
夺杯	奪盃
俄制	俄製
额我略历	額我略曆
恶心	噁心
恶意	惡意
恶意毁谤	惡意譭謗
恶唑啉	噁唑啉
恩准	恩准
摁扣	摁釦
而云	而云
二苯恶唑	二苯惡唑
二苯基恶唑	二苯基惡唑
二斗	二斗
二恶英	二噁英
二缶钟惑	二缶鐘惑
二杆子	二桿子
二纪何曾离一日	二紀何曾離一日
二里	二里
二仑	二崙
二娘	二孃
二撇胡	二撇鬍
二手	二手
二手烟	二手菸
二弦	二絃
二叶松	二葉松
二只	二隻
二周	二週
发辫	髮辮
发表	發表
发表欲	發表慾
发鬓	髮鬢
发布	發佈
发采扬明	發采揚明
发菜	髮菜
发钗	髮釵
发带	髮帶
发雕	髮雕
发短心长	髮短心長
发匪	髮匪
发肤	髮膚
发复	發覆
发干	發乾
发根	髮根
发箍	髮箍
发冠卷尾	發冠卷尾
发光	發光
发光可鉴	髮光可鑑
发号	發號
发号布令	發號佈令
发际	髮際
发髻	髮髻
发夹	髮夾
发笺	髮箋
发胶	髮膠
发脚	髮腳
发结	髮結
发姐	髮姐
发禁	髮禁
发卷	髮捲
发卡	髮卡
发困	發睏
发腊	髮臘
发蜡	髮蠟
发廊	髮廊
发量	髮量
发乱钗横	髮亂釵橫
发蒙	發矇
发面	發麪
发漂	髮漂
发妻	髮妻
发圈	髮圈
发如飞蓬	髮如飛蓬
发乳	髮乳
发色	髮色
发纱	髮紗
发上	發上
发上冲冠	髮上衝冠
发上指冠	髮上指冠
发梢	髮梢
发式	髮式
发饰	髮飾
发梳	髮梳
发束	髮束
发霜	髮霜
发丝	髮絲
发套	髮套
发挽双髻	髮挽雙髻
发网	髮網
发为血之本	髮爲血之本
发尾	髮尾
发屋	髮屋
发香	髮香
发型	髮型
发须斑	髮鬚斑
发须都	髮鬚都
发须皆	髮鬚皆
发须俱	髮鬚俱
发须已	髮鬚已
发癣	髮癬
发已霜白	髮已霜白
发引	發引
发引千钧	髮引千鈞
发缨	髮纓
发踊冲冠	髮踊沖冠
发油	髮油
发簪	髮簪
发长	髮長
发针	髮針
发政施仁	發政施仁
发指	髮指
发质	髮質
发状	髮狀
廢后	廢后
法拉	法拉
法拉托	法拉托
法外施仁	法外施仁
翻复	翻覆
翻来复去	翻來覆去
翻手作云复手雨	翻手作雲覆手雨
翻台	翻檯
翻云复雨	翻雲覆雨
凡布利安纳	凡布利安納
烦复	煩複
繁复	繁複
繁钟	繁鐘
反铲	反剷
反斗	反斗
反反复复	反反覆覆
反复	反覆
反卷	反捲
反乱并	反亂併
返还	返還
返还占有	返還占有
返里	返里
返照回光	返照回光
饭后	飯後
饭后钟	飯後鐘
饭团	飯糰
泛滥	氾濫
泛水	泛水
泛水凌山	汎水淩山
范冰冰	范冰冰
范陈柏	范陳柏
范成大	范成大
范德格拉夫	范德格拉夫
范德林特	范德林特
范德萨	范德薩
范德瓦耳斯	范德瓦耳斯
范德维德	范德維德
范登堡	范登堡
范范之辈	范範之輩
范甘迪	范甘迪
范纲武	范綱武
范戈德	范戈德
范公偁	范公偁
范公堤	范公堤
范光群	范光羣
范国铨	范國銓
范哈能	范哈能
范皓阗	范皓闐
范洪森	范洪森
范家	範家
范家谦	范家謙
范嘉骅	范嘉驊
范姜	范姜
范进	范進
范靖瑶	范靖瑤
范雎	范雎
范可钦	范可欽
范宽	范寬
范蠡	范蠡
范伦铁诺	范倫鐵諾
范履霜	范履霜
范尼斯特鲁伊	范尼斯特魯伊
范佩西	范佩西
范琪斐	范琪斐
范绮馨	范綺馨
范士丹	范士丹
范斯	範斯
范斯坦	范斯坦
范特尔	范特爾
范特西	范特西
范玮琪	范瑋琪
范文	範文
范文程	范文程
范文芳	范文芳
范文虎	范文虎
范文澜	范文瀾
范文藤	范文藤
范文同	范文同
范文照	范文照
范文正公	范文正公
范湘暄	范湘暄
范小姐	范小姐
范晓萱	范曉萱
范筱梵	范筱梵
范欣妤	范欣妤
范阳	范陽
范晔	范曄
范逸臣	范逸臣
范增	范增
范张鸡黍	范張雞黍
范正祥	范正祥
范织钦	范織欽
范植谷	范植谷
范植伟	范植偉
范志毅	范志毅
范仲淹	范仲淹
方便	方便
方便面	方便麪
方才	方纔
方几	方几
方里	方里
方岳	方岳
方志	方誌
防台	防颱
防御	防禦
仿佛	彷彿
仿制	仿製
放蒙挣	放懞掙
放松	放鬆
放松管制	放松管制
飞刍挽粒	飛芻輓粒
飞刍挽粮	飛芻輓糧
飞刍挽粟	飛芻輓粟
飞行	飛行
飞行钟	飛行鐘
飞梁	飛樑
飞粮挽秣	飛糧輓秣
飞升	飛昇
飞书白帝营斗粟	飛書白帝營鬥粟
飞扎	飛紮
飞征	飛征
非签不可	非簽不可
非游离辐射伤害	非游離輻射傷害
菲普利	菲普利
菲舍尔	菲捨爾
肥皂	肥皂
肥皂莢	肥皂荚
肥皂劇	肥皂剧
肥皂絲	肥皂丝
肥筑方言	肥筑方言
肺脏	肺臟
废后	廢后
费尔	費爾
费尔干纳	費爾干納
费里克斯	費里克斯
分半钟	分半鐘
分布	分佈
分多钟	分多鐘
分钟	分鐘
分子	分子
分子钟	分子鐘
焚毁	焚燬
粉面	粉面
粉面朱脣	粉面硃脣
粪秽蔑面	糞穢衊面
丰标	丰標
丰采	丰采
丰城	豐城
丰城贯斗	豐城貫斗
丰度	丰度
丰情	丰情
丰茸	丰茸
丰容	丰容
丰若有肌柔若无骨	丰若有肌柔若無骨
丰神	丰神
丰溪	豐溪
丰溪里	豐溪里
丰仪	丰儀
丰儀	丰儀
丰韵	丰韻
丰韻	丰韻
丰姿	丰姿
风采	風采
风尘淹别日	風塵淹別日
风斗	風斗
风干	風乾
风刮	風颳
风后	風后
风卷	風捲
风入松	風入松
风土	風土
风土志	風土誌
风物	風物
风物志	風物誌
风烟彭泽里	風煙彭澤裏
封后	封后
封妻荫子	封妻廕子
封作天齐王	封作天齊王
風采	風采
峰回	峯迴
葑菲之采	葑菲之采
蜂后	蜂后
逢凶化吉	逢凶化吉
缝制	縫製
凤皇于蜚	鳳皇于蜚
凤凰	鳳凰
凤凰于蜚	鳳凰于蜚
凤台	鳳台
凤尾松	鳳尾松
凤占	鳳占
奉干	奉干
奉公	奉公
奉公克己	奉公剋己
佛里特	佛里特
佛历	佛曆
佛罗里达	佛羅里達
佛钟	佛鐘
夫力	伕力
夫役	伕役
肤发	膚髮
弗兰扎尔	弗蘭扎爾
弗里得里希	弗裏得裏希
弗里德里希	弗里德里希
弗里敦	弗里敦
弗里曼	弗里曼
伏几	伏几
扶幼周	扶幼週
扶余	扶余
拂荡	拂盪
拂须	拂鬚
拂钟无声	拂鐘無聲
服饰	服飾
服饰周	服飾週
服务	服務
服务台	服務檯
服装	服裝
服装周	服裝週
浮梁	浮樑
浮签	浮簽
浮托	浮托
浮游	浮游
浮云连海岳	浮雲連海嶽
符采	符采
福生于微	福生于微
福辛普利	福辛普利
福荫	福廕
抚尸	撫屍
抚尸恸哭	撫尸慟哭
抚松	撫松
抚恤	撫卹
抚远县	撫遠縣
腑脏	腑臟
腐干	腐乾
父母	父母
父母在不远游	父母在不遠游
父兄未许人	父兄未許人
负图之托	負圖之托
妇人	婦人
妇人生须	婦人生鬚
附膻逐臭	附膻逐臭
附膻逐秽	附膻逐穢
附膻逐腥	附膻逐腥
附注	附註
复按	覆按
复败	覆敗
复杯	覆杯
复被	覆被
复本	複本
复比	複比
复庇之恩	覆庇之恩
复蔽	覆蔽
复壁	複壁
复变函数	複變函數
复瓿	覆瓿
复测	複測
复查	複查
复査	複查
复车	覆車
复称	複稱
复成	覆成
复呈	覆呈
复帱	覆幬
复词	複詞
复次	複次
复道	複道
复电	覆電
复鼎	覆鼎
复对数	複對數
复发	復發
复发率	複發率
复发性	複發性
复方	複方
复肥	複肥
复分解	複分解
复分数	複分數
复分析	複分析
复辅音	複輔音
复复	複復
复盖	覆蓋
复阁	複閣
复共轭	複共軛
复果	複果
复海移山	覆海移山
复醢	覆醢
复函	覆函
复函数	複函數
复合	複合
复核	複覈
复婚	復婚
复婚制	複婚制
复基	復基
复基因	複基因
复检	複檢
复酱瓿	覆醬瓿
复蕉寻鹿	覆蕉尋鹿
复句	複句
复决	複決
复军	覆軍
复利	複利
复列	複列
复流	複流
复鹿寻蕉	覆鹿尋蕉
复鹿遗蕉	覆鹿遺蕉
复露	覆露
复冒	覆冒
复没	覆沒
复灭	覆滅
复名	複名
复命	覆命
复亩珍	複畝珍
复目	複目
复墓	覆墓
复逆	覆逆
复拍子	複拍子
复盘	覆盤
复盆	覆盆
复辟	復辟
复频	複頻
复品牌	複品牌
复平面	複平面
复评	複評
复钱	複錢
复去翻来	覆去翻來
复仞年如	複仞年如
复襦	複襦
复赛	複賽
复色	複色
复上	覆上
复审	複審
复式	複式
复试	複試
复视	複視
复述	複述
复数	複數
复水	覆水
复诵	複誦
复苏	復甦
复文	覆文
复习	複習
复线	複線
复相	復相
复相关	複相關
复校	覆校
复写	複寫
复信	覆信
复姓	複姓
复选	複選
复穴	複穴
复循环发电	複循環發電
复训	複訓
复盐	複鹽
复眼	複眼
复验	複驗
复叶	複葉
复以百万	複以百萬
复议	複議
复意	複意
复音	複音
复印	複印
复用	複用
复盂	覆盂
复雨翻云	覆雨翻雲
复育	覆育
复元	復元
复元音	複元音
复员	復員
复员军人	複員軍人
复阅	複閱
复韵	複韻
复杂	複雜
复载	覆載
复在	覆在
复帐	覆帳
复辙	覆轍
复诊	複診
复殖目	複殖目
复殖吸虫	複殖吸蟲
复制	複製
复种	複種
复舟	覆舟
复住	覆住
复子明辟	復子明辟
复字键	複字鍵
复宗	覆宗
复综语	複綜語
复𫗧	覆餗
副词片语	副詞片語
傅里叶	傅里葉
傅匀余	傅勻余
富里	富里
富民港第二	富民港第二
富新第二	富新第二
腹中无一物	腹中無一物
蝮蛇皮	蝮蛇皮
覆去翻来	覆去翻來
覆雨翻云	覆雨翻雲
馥郁	馥郁
该钟	該鐘
改念	改唸
改签	改簽
盖尔范德	蓋爾範德
肝脏	肝臟
竿头日进	竿頭日進
扞御	扞禦
杆秤	桿秤
杆刀	桿刀
杆菌	桿菌
杆茵	桿茵
杆直	桿直
杆状	桿狀
赶面棍	趕麪棍
赶制	趕製
敢斗了胆	敢斗了膽
敢引佩以指水	敢引佩以指水
橄榄	橄欖
橄榄岩	橄欖岩
擀面	擀麪
干阿奶	乾阿奶
干碍	干礙
干熬	乾熬
干巴	乾巴
干爸	乾爸
干白	乾白
干杯	乾杯
干贝	乾貝
干绷	乾繃
干逼	乾逼
干煸	乾煸
干扁	幹扁
干扁豆角	干扁豆角
干瘪	乾癟
干冰	乾冰
干剥剥	乾剝剝
干不	幹不
干不干杯	乾不乾杯
干不干净	乾不乾淨
干布	乾布
干擦	乾擦
干材	乾材
干菜	乾菜
干草	乾草
干茶钱	乾茶錢
干柴	乾柴
干产	乾產
干唱	乾唱
干炒牛河	乾炒牛河
干城	干城
干池	乾池
干刍	乾芻
干茨腊	乾茨臘
干此杯	乾此杯
干此坛	乾此罈
干醋	乾醋
干脆	乾脆
干村沙	乾村沙
干打雷	乾打雷
干打垒	乾打壘
干旦	乾旦
干得	幹得
干得很	乾得很
干得两杯	乾得兩杯
干得三杯	乾得三杯
干得一杯	乾得一杯
干的	乾的
干灯盏	乾燈盞
干等	乾等
干瞪眼	乾瞪眼
干地	乾地
干弟	乾弟
干点	乾點
干电	乾電
干吊着下巴	乾吊着下巴
干掉	幹掉
干掉那杯	乾掉那杯
干掉那碗	乾掉那碗
干掉一杯	乾掉一杯
干掉一瓶	乾掉一瓶
干掉一碗	乾掉一碗
干掉这杯	乾掉這杯
干掉这碗	乾掉這碗
干爹	乾爹
干断	乾斷
干儿	乾兒
干犯	干犯
干饭	乾飯
干肥	乾肥
干粉	乾粉
干干	乾乾
干纲	乾綱
干稿	乾稿
干戈	干戈
干哥	乾哥
干沟	乾溝
干股	乾股
干卦	乾卦
干馆	乾館
干果	乾果
干过	幹過
干过杯	乾過杯
干过一杯	乾過一杯
干过瘾	乾過癮
干旱	乾旱
干嚎	乾嚎
干号	乾號
干耗	乾耗
干和	乾和
干涸	乾涸
干红	乾紅
干糇	乾餱
干花	乾花
干回付	乾回付
干哕	乾噦
干货	乾貨
干霍乱	乾霍亂
干姬松茸	乾姬松茸
干急	乾急
干几杯	乾幾杯
干几手	乾幾手
干几碗	乾幾碗
干季	乾季
干将	干將
干姜	乾薑
干焦	乾焦
干酵母	乾酵母
干结	乾結
干姐	乾姐
干疥	乾疥
干尽	幹盡
干尽一杯	乾盡一杯
干尽一壺	乾盡一壺
干尽一坛	乾盡一罈
干尽一碗	乾盡一碗
干井	乾井
干净	乾淨
干淨	乾淨
干凯文	干凱文
干咳	乾咳
干渴	乾渴
干刻版	乾刻版
干枯	乾枯
干哭	乾哭
干酪	乾酪
干了	幹了
干了杯	乾了杯
干了这杯	乾了這杯
干了这碗	乾了這碗
干了这一杯	乾了這一杯
干了这一瓶	乾了這一瓶
干雷	乾雷
干冷	乾冷
干礼	乾禮
干李子	乾李子
干连	干連
干凉	乾涼
干粮	乾糧
干两杯	乾兩杯
干量	乾量
干料	乾料
干撂台	乾撂臺
干裂	乾裂
干馏	乾餾
干落	乾落
干妈	乾媽
干毛巾	乾毛巾
干冒烟	乾冒煙
干没	乾沒
干梅	乾梅
干妹	乾妹
干面	乾麪
干篾片	乾篾片
干那	幹那
干那杯	乾那杯
干那一杯	乾那一杯
干挠	干撓
干你	幹你
干你娘	幹你孃
干娘	乾孃
干奴才	乾奴才
干暖	乾暖
干女	乾女
干呕	乾嘔
干皮症	乾皮症
干啤	乾啤
干片	乾片
干撇下	乾撇下
干戚	干鏚
干漆	乾漆
干虔	乾虔
干乔	乾喬
干亲	乾親
干卿底事	干卿底事
干卿何事	干卿何事
干球温度	乾球溫度
干渠	乾渠
干扰	干擾
干热	乾熱
干熱	乾熱
干肉	乾肉
干颡	乾顙
干涩	乾澀
干烧	乾燒
干涉	干涉
干伸舌	乾伸舌
干生气	乾生氣
干生受	乾生受
干生子	乾生子
干尸	乾屍
干湿	乾溼
干湿发	乾溼髮
干时	干時
干屎橛	乾屎橛
干式	乾式
干手	幹手
干手净脚	乾手淨腳
干瘦	乾瘦
干数杯	乾數杯
干爽	乾爽
干丝	乾絲
干死	乾死
干闼婆	乾闥婆
干台	乾颱
干苔	乾薹
干坛子	乾罈子
干堂婶	乾堂嬸
干啼	乾啼
干田	乾田
干透	乾透
干图	乾圖
干土	乾土
干坞	乾塢
干洗	乾洗
干系	干係
干鲜	乾鮮
干象	乾象
干笑	乾笑
干薪	乾薪
干性	乾性
干休	干休
干癣	乾癬
干血浆	乾血漿
干哑	乾啞
干咽	乾嚥
干眼	乾眼
干曜	乾曜
干谒	干謁
干一	幹一
干一杯	乾一杯
干一坛	乾一罈
干一碗	乾一碗
干衣	乾衣
干邑	干邑
干瘾	乾癮
干硬	乾硬
干又热	乾又熱
干鱼	乾魚
干与	干與
干预	干預
干圆洁净	乾圓潔淨
干云蔽日	乾雲蔽日
干造	乾造
干燥	乾燥
干躁	乾躁
干宅	乾宅
干站着	乾站着
干折	乾折
干这	幹這
干这杯	乾這杯
干这一杯	乾這一杯
干着	幹着
干着急	乾着急
干政	干政
干支	干支
干支剌	乾支剌
干支支	乾支支
干枝	乾枝
干制	乾製
干重	乾重
干子	乾子
干姊	乾姊
干坐着	乾坐着
冈田准	岡田准
刚才	剛纔
刚干	剛乾
钢扣	鋼釦
钢梁	鋼樑
钢制	鋼製
港制	港製
杠杆	槓桿
槓杆	槓桿
高柏松	高柏松
高几	高几
高丽	高麗
高丽参	高麗蔘
高良姜	高良薑
高清愿	高清愿
高情浪海岳	高情浪海嶽
高秋南斗转	高秋南鬥轉
高郁淨	高郁淨
高政升	高政昇
高周波	高週波
糕干	糕乾
咯当	咯噹
哥里	哥里
割舍	割捨
歌尘起画梁	歌塵起畫梁
歌后	歌后
歌钟	歌鐘
格雷夫	格雷夫
格里	格里
格里高利历	格里高利曆
格里历	格里曆
格列高利历	格列高利曆
格瑞姆巴托	格瑞姆巴託
隔波望松雪	隔波望鬆雪
隔周	隔週
葛里芬	葛里芬
葛罗托斯基	葛羅托斯基
葛斯范桑	葛斯范桑
个旧	箇舊
个中	箇中
个钟	個鐘
各类	各類
各类钟	各類鐘
各里	各里
各签	各簽
根须	根鬚
根烟	根菸
跟斗	跟斗
耕获	耕穫
骾朴	骾朴
更待干罢	更待干罷
更钟	更鐘
工欲善其事	工欲善其事
工致	工緻
公布	公佈
公斗	公斗
公积金	公積金
公来雪山重	公來雪山重
公里	公里
公历	公曆
公认	公認
公认会计准	公認會計准
公孙	公孫
公孙丑	公孫丑
公仔面	公仔麪
功致	功緻
宫里	宮裏
宫里蓝	宮里藍
拱托	拱托
共铲	共剷
共和	共和
共和历	共和曆
共御外侮	共禦外侮
贡烟	貢菸
供制	供製
狗扣	狗釦
狗娘养的	狗孃養的
狗屁不通	狗屁不通
狗占马坑	狗占馬坑
狗彘不食	狗彘不食
购并	購併
购买	購買
购买欲	購買慾
咕咕	咕咕
咕咕钟	咕咕鐘
沽名	沽名
沽名干誉	沽名干譽
孤征	孤征
辜濂松	辜濂松
古迹	古蹟
古里古怪	古里古怪
古切里	古切里
古书	古書
古书云	古書云
古書云	古書云
古弦	古絃
古語云	古語云
古云	古云
古钟	古鐘
谷氨酸	穀氨酸
谷氨酰	谷氨酰
谷氨酰胺	谷氨醯胺
谷保家商	穀保家商
谷仓	穀倉
谷舱	穀艙
谷草	穀草
谷场	穀場
谷旦	穀旦
谷道	穀道
谷粉	穀粉
谷风	穀風
谷圭	穀圭
谷贵饿农	穀貴餓農
谷贵饿农谷贱伤农	穀貴餓農穀賤傷農
谷贱伤农	穀賤傷農
谷糠	穀糠
谷壳	穀殼
谷口	谷口
谷口耕岩	谷口耕岩
谷类	穀類
谷粒	穀粒
谷梁	穀梁
谷米	穀米
谷苗	穀苗
谷皮	穀皮
谷人	穀人
谷日	穀日
谷神	穀神
谷食	穀食
谷穗	穀穗
谷物	穀物
谷雨	穀雨
谷子	穀子
股栗	股慄
股栗肤粟	股栗膚粟
骨灰	骨灰
骨灰坛	骨灰罈
骨坛	骨罈
骨头	骨頭
骨头里挣出来的钱才做得肉	骨頭裏掙出來的錢纔做得肉
鼓荡	鼓盪
鼓噪	鼓譟
鹘仑吞枣	鶻崙吞棗
故侯将我到山中	故侯將我到山中
故里	故里
故人怜别日	故人憐別日
故云	故云
故宅春山中	故宅春山中
顾敌已忘生	顧敵已忘生
顾借	顧藉
瓜伊马斯	瓜伊馬斯
刮大风	颳大風
刮倒	颳倒
刮得	颳得
刮风	颳風
刮胡	刮鬍
刮了	颳了
刮起	颳起
刮去	颳去
刮须	刮鬚
刮雪	颳雪
刮着	颳着
刮走	颳走
寡欲	寡慾
挂表	掛錶
挂斗	掛斗
挂冠	掛冠
挂冠归里	掛冠歸里
挂历	掛曆
挂面	掛麪
挂钟	掛鐘
拐棒	柺棒
拐棍	柺棍
拐杖	柺杖
拐子	柺子
怪里怪气	怪里怪氣
关弓与我确	關弓與我确
关河信不通	關河信不通
关系	關係
关岳	關岳
关征	關征
观光	觀光
观光周	觀光週
官地为采	官地爲寀
官历	官曆
官准	官准
馆谷	館穀
馆娃满眼看花发	館娃滿眼看花發
管道	管道
管道升	管道昇
管弦	管絃
冠军	冠軍
冠军杯	冠軍盃
冠冕如星罗	冠冕如星羅
冠胄	冠冑
灌制	灌製
光采	光采
光杆	光桿
光卤石	光鹵石
光致	光致
光致致	光緻緻
光轴鹅不食	光軸鵝不食
咣当	咣噹
广布	廣佈
广部	广部
广舍	廣捨
归并	歸併
归及梅花发	歸及梅花發
归来使酒气	歸來使酒氣
硅质岩	硅質岩
癸丑	癸丑
柜柳	柜柳
柜台	櫃檯
贵价	貴价
桂圆	桂圓
桂圆干	桂圓乾
桂仔云	桂仔云
郭采洁	郭采潔
郭松焘	郭松燾
郭子干	郭子乾
锅伙	鍋伙
国历	國曆
国梁	國樑
国之桢干	國之楨榦
果干	果乾
果子	果子
果子干	果子乾
裹扎	裹紮
过冲	過沖
过梁	過樑
过水面	過水麪
哈贝马斯	哈貝馬斯
哈里	哈里
哈里里	哈里里
哈塔什	哈塔什
还来荆山中	還來荊山中
还辟	還辟
海参	海蔘
海淀	海淀
海干	海乾
海里	海里
海马	海馬
海马回	海馬迴
海松	海松
海鲜	海鮮
海鲜面	海鮮麪
海鲜夜排档	海鮮夜排檔
海燕双飞绕画梁	海燕雙飛繞畫梁
海于格松	海于格松
海岳名言	海岳名言
含齿戴发	含齒戴髮
含油岩	含油岩
函复	函覆
韩复矩	韓復榘
韩国	韓國
韩国制	韓國製
韩升洙	韓昇洙
韩侂胄	韓侂冑
韩制	韓製
寒泉久不通	寒泉久不通
汉弥登钟	漢彌登鐘
汉明窗	漢明窗
旱干	旱乾
旱烟	旱菸
捍御	捍禦
行不通	行不通
行境逢花发	行境逢花發
行李	行李
行李卷	行李捲
行事	行事
行事历	行事曆
行万里路胜读万卷书	行萬裏路勝讀萬捲書
行佣	行佣
行针	行鍼
行针布线	行鍼佈線
航海	航海
航海历	航海曆
蒿里	蒿里
毫发	毫髮
豪气	豪氣
豪气干云	豪氣干雲
好不	好不
好不容易	好不容易
好不容易才	好不容易纔
好干	好乾
好困	好睏
好利得	好利得
好凶	好凶
好一出	好一齣
号志	號誌
皓齿	皓齒
皓齿朱唇	皓齒硃脣
皓发	皓髮
喝采	喝采
喝倒采	喝倒采
喝干	喝乾
禾谷	禾穀
合并	合併
合吃	合吃
合儿	閤兒
合府	閤府
合家	閤家
合历	合曆
合签	合簽
合眼	閤眼
合于	合於
合于时宜	合于時宜
合中	閤中
合作	合作
合作伙伴	合作伙伴
何当怜一物	何當憐一物
何干	何干
何恨憔悴在山中	何恨憔悴在山中
何杰金氏病	何杰金氏病
何山路不通	何山路不通
何小升	何小昇
何意薄松筠	何意薄鬆筠
和奸	和姦
和面	和麪
和平	和平
和平里	和平里
和弦	和絃
劾系	劾繫
河干	河干
河里	河裏
河里孩儿岸上娘	河裏孩兒岸上孃
河升镇	河昇鎮
荷宠务推诚	荷寵務推誠
荷里活	荷里活
核保	覈保
核报	覈報
核编	覈編
核拨	覈撥
核查	覈查
核定	覈定
核对	覈對
核复	覈覆
核计	覈計
核价	覈價
核减	覈減
核批	覈批
核审	覈審
核实	覈實
核示	覈示
核收	覈收
核算	覈算
核销	覈銷
核验	覈驗
核准	覈准
核资	覈資
核字	覈字
涸干	涸乾
贺后骂殿	賀后罵殿
赫弗里希	赫弗里希
褐衣不完	褐衣不完
鹤吊	鶴弔
鹤发	鶴髮
鹤骨松姿	鶴骨松姿
黑发	黑髮
黑亮	黑亮
黑亮发	黑亮髮
黑面	黑麪
黑松	黑松
黑须	黑鬚
黑曜岩	黑曜岩
很干	很乾
横梁	橫樑
烘干	烘乾
烘托	烘托
烘熏	烘燻
烘云托月	烘雲托月
烘制	烘製
弘历	弘曆
红发	紅髮
红千层	紅千層
红绳	紅繩
红绳系足	紅繩繫足
红丝暗系	紅絲暗繫
红松	紅松
红须	紅須
红须绿眼	紅鬚綠眼
红叶	紅葉
红叶杯	紅葉盃
红钟	紅鐘
洪复	洪覆
洪沟第二	洪溝第二
洪沟第三	洪溝第三
洪升	洪昇
洪士杰	洪士杰
洪适	洪适
洪钟	洪鐘
哄动	鬨動
哄伙	鬨夥
哄闹	鬨鬧
哄然	鬨然
哄堂	鬨堂
哄笑	鬨笑
澒蒙	澒濛
喉干舌燥	喉乾舌燥
后安	後安
后安路	后安路
后摆	後襬
后北街	后北街
后帝	后帝
后发座	后髮座
后妃	后妃
后丰	后豐
后豐	后豐
后冠	后冠
后海	後海
后海湾	后海灣
后海灣	后海灣
后皇	后皇
后稷	后稷
后角	后角
后街	后街
后里	后里
后娘	後孃
后辟	后辟
后平路	后平路
后土	后土
后王	后王
后辛	后辛
后羿	后羿
后制	後製
后座	後座
后座系	後座繫
厚朴	厚朴
忽舍下	忽捨下
狐关雪复平	狐關雪復平
狐借虎威	狐藉虎威
胡碴子	鬍碴子
胡吃海喝	胡吃海喝
胡吃闷睡	胡吃悶睡
胡匪	鬍匪
胡关雪复平	胡關雪復平
胡椒	胡椒
胡椒面	胡椒麪
胡杰	胡杰
胡里胡涂	胡里胡塗
胡髯	鬍髯
胡梢	鬍梢
胡同	衚衕
胡托莫	胡托莫
胡须	鬍鬚
胡云	胡云
胡渣	鬍渣
胡髭	鬍髭
胡子	鬍子
鹄发	鵠髮
湖滨一号	湖濱一號
糊口	餬口
糊里糊涂	糊里糊塗
虎皮松	虎皮松
虎须	虎鬚
护发	護髮
戽斗	戽斗
花庵词选	花菴詞選
花采	花采
花发老	花髮老
花岗	花崗
花岗岩	花崗岩
花哄	花鬨
花胶瘦肉羹	花膠瘦肉羹
花椒	花椒
花椒面	花椒麪
花卷	花捲
花落到山中	花落到山中
花马吊嘴	花馬弔嘴
花托	花托
花药	花葯
花钟	花鐘
划不来	划不來
划船	划船
划单人艇	划單人艇
划到	劃到
划到岸	划到岸
划到江心	划到江心
划得	劃得
划得来	划得來
划动	划動
划过	劃過
划过来	划過來
划过去	划過去
划行	划行
划桨	划槳
划进	划進
划具	划具
划来	划來
划了	劃了
划了一会	划了一會
划龙舟	划龍舟
划起	划起
划拳	划拳
划双人	划雙人
划水	划水
划算	划算
划艇	划艇
划向	划向
划一	劃一
划一桨	划一槳
划着	划着
划子	划子
划走	划走
华发	華髮
华核	華覈
华里	華里
华严	華嚴
华严钟	華嚴鐘
哗的	嘩的
哗地	嘩地
哗哗	嘩嘩
哗啦	嘩啦
滑杆	滑桿
滑借	滑藉
画梁雕栋	畫樑雕棟
怀表	懷錶
怀远县	懷遠縣
怀钟	懷鐘
换挡杆	換擋桿
换档杆	換檔桿
换斗移星	換鬥移星
换发	換髮
换只	換隻
擐系	擐繫
慌里慌张	慌里慌張
皇后	皇后
皇极	皇極
皇极历	皇極曆
皇历	皇曆
皇辟	皇辟
黄东梁	黃東樑
黄豆炖猪脚	黃豆燉豬腳
黄发	黃髮
黄干黑瘦	黃乾黑瘦
黄金	黃金
黄金周	黃金週
黄俊杰	黃俊杰
黄历	黃曆
黄梁	黃梁
黄梁美梦	黃樑美夢
黄珮筑	黃珮筑
黄曲毒素	黃麴毒素
黄须	黃鬚
黄旭升	黃旭昇
黄岩	黃岩
黄郁涵	黃郁涵
黄郁茹	黃郁茹
黄育杰	黃育杰
黄钰筑	黃鈺筑
黄钟	黃鐘
黄钟毁弃	黃鐘譭棄
黃鈺筑	黃鈺筑
湟潦生苹	湟潦生苹
磺胺甲恶唑	磺胺甲惡唑
晃荡	晃盪
灰发	灰髮
灰胡	灰鬍
灰蒙	灰濛
挥涕且复去	揮涕且復去
辉丰一号	輝豐一號
辉绿岩	輝綠岩
辉长岩	輝長岩
回避	迴避
回飙	迴飆
回肠	迴腸
回冲	回沖
回带	迴帶
回荡	迴盪
回递	回遞
回递性	迴遞性
回风	迴風
回复	回覆
回光返照	迴光返照
回归	迴歸
回护	迴護
回环	迴環
回黄倒皂	回黃倒皂
回魂仙梦	迴魂仙夢
回敎会议组织	回教會議組織
回卷	回捲
回廊	迴廊
回历	回曆
回流	迴流
回路	迴路
回銮	迴鑾
回盲瓣	迴盲瓣
回梦	迴夢
回清倒影	迴清倒影
回圈	迴圈
回绕	迴繞
回声	回聲
回声探测	迴聲探測
回首望松筠	回首望鬆筠
回诵	迴誦
回天	迴天
回腕	迴腕
回文	迴文
回纹针	迴紋針
回斡	迴斡
回翔	迴翔
回响	迴響
回向	迴向
回心	迴心
回形	回形
回形夹	迴形夾
回旋	迴旋
